"id","nct_id","name","removed"
38493035,"NCT00029588","United States",FALSE
38660830,"NCT00029601","United States",FALSE
38442386,"NCT00029627","United States",FALSE
38716382,"NCT00029653","United States",FALSE
38572725,"NCT00029692","United States",FALSE
38859191,"NCT00029718","United States",FALSE
38396508,"NCT00029835","United States",FALSE
38396509,"NCT00029835","Australia",FALSE
38396510,"NCT00029835","Canada",FALSE
38396511,"NCT00029835","Finland",FALSE
38396512,"NCT00029835","Italy",FALSE
38396513,"NCT00029835","Spain",FALSE
38396514,"NCT00029835","Sweden",FALSE
38396515,"NCT00029835","Switzerland",FALSE
38627002,"NCT00029848","United States",FALSE
38627003,"NCT00029848","Argentina",FALSE
38627004,"NCT00029848","Belgium",FALSE
38627005,"NCT00029848","Canada",FALSE
38627006,"NCT00029848","Czech Republic",FALSE
38627007,"NCT00029848","Finland",FALSE
38627008,"NCT00029848","France",FALSE
38627009,"NCT00029848","Germany",FALSE
38627010,"NCT00029848","Netherlands",FALSE
38627011,"NCT00029848","Poland",FALSE
38627012,"NCT00029848","United Kingdom",FALSE
38842762,"NCT00029861","United States",FALSE
38842763,"NCT00029861","Canada",FALSE
38743599,"NCT00029939","United States",FALSE
38840023,"NCT00029978","United States",FALSE
38917629,"NCT00030147","United States",FALSE
38658630,"NCT00030160","United States",FALSE
38986634,"NCT00030199","United States",FALSE
38471850,"NCT00030238","United States",FALSE
38960789,"NCT00030277","United States",FALSE
39057276,"NCT00030290","United States",FALSE
38517350,"NCT00030537","United States",FALSE
38441696,"NCT00030654","United States",FALSE
38441697,"NCT00030654","Australia",FALSE
38441698,"NCT00030654","Peru",FALSE
38441699,"NCT00030654","Puerto Rico",FALSE
38611568,"NCT00030758","United Kingdom",FALSE
38521809,"NCT00030823","United States",FALSE
38720790,"NCT00031369","United States",FALSE
38806651,"NCT00031382","United States",FALSE
38487844,"NCT00031720","United States",FALSE
38952200,"NCT00031746","United States",FALSE
38540466,"NCT00031798","United States",FALSE
38758984,"NCT00031811","United States",FALSE
38754803,"NCT00031850","United Kingdom",FALSE
38543071,"NCT00031876","Switzerland",FALSE
39079896,"NCT00031889","Switzerland",FALSE
38656444,"NCT00032006","United States",FALSE
38676689,"NCT00032058","United States",FALSE
38827751,"NCT00032136","United Kingdom",FALSE
38425871,"NCT00032201","United States",FALSE
38578642,"NCT00032565","United States",FALSE
38699146,"NCT00032656","United States",FALSE
38878922,"NCT00032760","United States",FALSE
38910998,"NCT00032812","United States",FALSE
38640051,"NCT00032838","United States",FALSE
38880864,"NCT00033345","United States",FALSE
39093692,"NCT00033384","United States",FALSE
38796209,"NCT00033397","United States",FALSE
38674549,"NCT00033514","United States",FALSE
38696203,"NCT00033631","United States",FALSE
38696204,"NCT00033631","Canada",FALSE
38674405,"NCT00033683","Belgium",FALSE
38674406,"NCT00033683","United Kingdom",FALSE
38973064,"NCT00033787","United States",FALSE
38811119,"NCT00033852","United States",FALSE
38702816,"NCT00033969","United States",FALSE
38538530,"NCT00034060","United States",FALSE
38681955,"NCT00034073","United States",FALSE
38895177,"NCT00034216","United States",FALSE
38567378,"NCT00034710","United States",FALSE
38674801,"NCT00034801","United States",FALSE
38433673,"NCT00034840","United States",FALSE
38433674,"NCT00034840","Canada",FALSE
38624711,"NCT00034970","United States",FALSE
