,nct_id,start_date,phase,year,BreastCancer,ProstateCancer,Stroke,HeartFailure,Pain,Obesity,Cancer,Depression,Hypertension,Anxiety,UnitedStates,Canada,China,France,Germany,UnitedKingdom,Korea,Italy,Spain,Turkey
7095,NCT04690257,2020/1/10,NA,2020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7096,NCT04690452,2020/12/11,NA,2020,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
7097,NCT04690478,2020/6/1,NA,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7098,NCT04690855,2021/10/4,PHASE2,2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7099,NCT04691076,2020/12/1,NA,2020,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7100,NCT04691375,2020/10/29,PHASE1,2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7101,NCT04691583,2018/4/11,NA,2018,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7102,NCT04691999,2021/12/2,NA,2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7103,NCT04692532,2021/1/1,NA,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7104,NCT04692584,2020/3/4,NA,2020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7105,NCT04692675,2022/11/18,NA,2022,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7106,NCT04693169,2021/1/15,NA,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7107,NCT04694001,2021/4/12,NA,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7108,NCT04694508,2018/11/19,NA,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7109,NCT04694781,2021/5/14,PHASE1,2021,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7110,NCT04695418,2018/1/28,NA,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7111,NCT04696120,2021/3/2,PHASE2,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
